Summary of SITH analysis
Redundant Internal Coordinate Definitions
**Defined by indices of involved atoms**
1	(1, 2)
2	(1, 3)
3	(1, 4)
4	(1, 5)
5	(5, 6)
6	(2, 1, 3)
7	(2, 1, 4)
8	(2, 1, 5)
9	(3, 1, 4)
10	(3, 1, 5)
11	(4, 1, 5)
12	(1, 5, 6)
13	(2, 1, 5, 6)
14	(3, 1, 5, 6)
15	(4, 1, 5, 6)Changes in internal coordinates (Delta q)
**Distances given in Angstroms, angles given in degrees**
DOF 	moh-xF-1.5	moh-xF-1.6	moh-xF-1.7	moh-xF-1.8	moh-xF-1.9	
1	-0.003675063780483025	-0.01077053184873064	-0.01569604630394066	-0.019043318190635043	-0.02127183441631223
2	-0.008027575479816472	-0.02029053743368719	-0.02867515776771955	-0.03468709466993466	-0.03894540352189531
3	-0.008031543904680947	-0.020294505858551668	-0.028679163987106314	-0.03469123317015027	-0.03894939084402093
4	0.1835889529265341	0.5406954122138657	0.8978019281929815	1.2549083685830513	1.6120148845621671
5	0.004718154807422087	0.013415543712541259	0.02017581216058791	0.025380099013881524	0.02928969670384177
6	0.9304519466137272	2.6002486320642704	4.084127961446194	5.38661916613	6.5192810966746855
7	0.9293197820105468	2.599094695064867	4.08296199233309	5.385474969413131	6.518163828974177
8	-0.9158226152306457	-2.746827851834785	-4.450092148014514	-6.077524334093081	-7.644628075048928
9	1.050745581617035	2.92373716544836	4.517262855126666	5.862268101166997	7.0013712232445435
10	-1.016118304310504	-2.8989326765815466	-4.708696648846802	-6.425960022834957	-8.066115882669992
11	-1.0161612761451448	-2.898960178555724	-4.708739047723651	-6.426049977208793	-8.066143384644157
12	-1.5483926582402774	-4.32815469709698	-6.70531934683808	-8.709977204948256	-10.42904997965343
13	0.03634999979865056	0.03638437726635304	-0.03526326045910326	0.03664335418980669	0.03723923029668355
14	0.011303311382345315	0.07825801340573524	0.18494160894351297	0.3003330170516792	0.4170130072411002
15	-0.08261879518448652	-0.14961532312692125	-0.25403057875377094	-0.3721842163922688	-0.49009835767239446
